id_registro,texto,canal_origem,data,classe_macro,classe_detalhada
75,Log automático registrado.,email,2025-03-31,Outros,Registro Automático
76,Solicito reprocessamento de dados incorretos.,email,2025-03-24,Solicitações Operacionais,Reprocessamento / Correção de Dados
77,Mensagem sem detalhes específicos.,sistema,2025-03-20,Outros,Mensagem Genérica
78,Desejo mudar as condições do contrato.,chat,2025-03-22,Solicitações Operacionais,Alteração de Plano / Contrato
79,Preciso reenviar o boleto de pagamento.,sistema,2025-03-29,Financeiro e Cobrança,Segunda Via de Boleto
80,Erro recorrente no sistema ao tentar acessar determinadas funcionalidades.,formulario,2025-03-27,Problemas Técnicos,Erro de Sistema / Aplicação
81,"Efetuei o pagamento, mas consta como pendente no sistema.",sistema,2025-03-25,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
82,Desejo mudar as condições do contrato.,chat,2025-03-24,Solicitações Operacionais,Alteração de Plano / Contrato
83,Pedido de nova funcionalidade.,email,2025-03-04,Feedback e Experiência,Sugestão de Nova Funcionalidade
84,Falha de conexão com o banco de dados.,email,2025-03-27,Problemas Técnicos,Falha de Banco de Dados
85,Pedido de nova via de cobrança.,chat,2025-03-14,Financeiro e Cobrança,Segunda Via de Boleto
86,Necessário cadastrar novo acesso para colaborador.,sistema,2025-03-29,Solicitações Operacionais,Criação / Gestão de Usuários
87,O sistema encontra-se indisponível no momento.,chat,2025-03-22,Problemas Técnicos,Indisponibilidade / Queda do Serviço
88,"Serviço indisponível, impossibilitando o uso da plataforma.",formulario,2025-03-20,Problemas Técnicos,Indisponibilidade / Queda do Serviço
89,Solicito integração com sistema externo via API.,chat,2025-03-29,Solicitações Operacionais,Integração com Sistemas Externos
90,Estou satisfeito com o sistema.,sistema,2025-03-26,Feedback e Experiência,Feedback Positivo
91,O sistema poderia ser mais rápido.,chat,2025-03-26,Feedback e Experiência,Sugestão de Melhoria
92,Não foi possível exportar o relatório solicitado.,formulario,2025-03-08,Problemas Técnicos,Erro de Exportação / Relatórios
93,Necessário corrigir informações do cadastro.,sistema,2025-03-10,Solicitações Operacionais,Atualização Cadastral
94,Solicito integração com sistema externo via API.,chat,2025-03-13,Solicitações Operacionais,Integração com Sistemas Externos
95,Tenho dúvidas sobre o valor da fatura.,sistema,2025-03-12,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
96,Log automático registrado.,sistema,2025-03-31,Outros,Registro Automático
97,"A aplicação falhou durante o uso normal, exibindo uma mensagem de erro genérica.",chat,2025-03-19,Problemas Técnicos,Erro de Sistema / Aplicação
98,"Efetuei o pagamento, mas consta como pendente no sistema.",formulario,2025-03-12,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
99,Desejo informações sobre reembolso.,email,2025-03-13,Financeiro e Cobrança,Reembolso / Estorno
100,Mensagem sem detalhes específicos.,email,2025-03-23,Outros,Mensagem Genérica
101,Gostei muito da nova atualização.,chat,2025-03-12,Feedback e Experiência,Feedback Positivo
102,Gostei muito da nova atualização.,sistema,2025-03-20,Feedback e Experiência,Feedback Positivo
103,Dúvida sobre juros aplicados na fatura.,sistema,2025-03-17,Financeiro e Cobrança,Juros e Encargos
104,Questionamento sobre encargos cobrados.,sistema,2025-03-13,Financeiro e Cobrança,Juros e Encargos
105,Solicito segunda via do boleto.,chat,2025-03-14,Financeiro e Cobrança,Segunda Via de Boleto
106,Sugiro aprimorar algumas funcionalidades.,sistema,2025-03-13,Feedback e Experiência,Sugestão de Melhoria
107,Mensagem sem detalhes específicos.,sistema,2025-03-07,Outros,Mensagem Genérica
108,Dificuldade de navegação no sistema.,formulario,2025-03-15,Feedback e Experiência,Crítica de Usabilidade
109,Necessário ajustar layout e campos do relatório.,chat,2025-03-22,Solicitações Operacionais,Customização de Relatórios
110,"Serviço indisponível, impossibilitando o uso da plataforma.",sistema,2025-03-03,Problemas Técnicos,Indisponibilidade / Queda do Serviço
111,Desejo mudar as condições do contrato.,chat,2025-03-26,Solicitações Operacionais,Alteração de Plano / Contrato
112,Solicito integração com sistema externo via API.,email,2025-03-08,Solicitações Operacionais,Integração com Sistemas Externos
113,O atendimento foi excelente.,formulario,2025-03-29,Feedback e Experiência,Feedback Positivo
114,Aguardando posicionamento.,formulario,2025-03-16,Outros,Mensagem Genérica
115,Sugiro melhorias no sistema.,email,2025-03-29,Feedback e Experiência,Sugestão de Melhoria
116,Não foi possível exportar o relatório solicitado.,chat,2025-03-26,Problemas Técnicos,Erro de Exportação / Relatórios
117,Registro automático do sistema.,chat,2025-03-30,Outros,Registro Automático
118,Não foi possível exportar o relatório solicitado.,formulario,2025-03-22,Problemas Técnicos,Erro de Exportação / Relatórios
119,Apenas para agradecer.,sistema,2025-03-31,Outros,Agradecimento Simples
120,Pedido de nova funcionalidade.,formulario,2025-03-29,Feedback e Experiência,Sugestão de Nova Funcionalidade
121,Desejo mudar as condições do contrato.,formulario,2025-03-09,Solicitações Operacionais,Alteração de Plano / Contrato
122,Pedido de alteração cadastral.,sistema,2025-03-25,Solicitações Operacionais,Atualização Cadastral
123,Log automático registrado.,chat,2025-03-09,Outros,Registro Automático
124,Gostei muito da nova atualização.,sistema,2025-03-08,Feedback e Experiência,Feedback Positivo
125,Gostaria de esclarecimentos sobre a cobrança.,email,2025-03-05,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
126,Necessário integrar a plataforma com sistema de terceiros.,chat,2025-03-23,Solicitações Operacionais,Integração com Sistemas Externos
127,Necessário cadastrar novo acesso para colaborador.,formulario,2025-03-11,Solicitações Operacionais,Criação / Gestão de Usuários
128,Evento gerado automaticamente.,email,2025-03-07,Outros,Registro Automático
129,Pedido de nova funcionalidade.,email,2025-03-28,Feedback e Experiência,Sugestão de Nova Funcionalidade
130,Evento gerado automaticamente.,email,2025-03-31,Outros,Registro Automático
131,Gostaria de esclarecimentos sobre a cobrança.,formulario,2025-03-18,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
132,Agradeço pelo atendimento.,formulario,2025-03-08,Outros,Agradecimento Simples
133,Pedido de estorno financeiro.,email,2025-03-13,Financeiro e Cobrança,Reembolso / Estorno
134,Juros aplicados parecem incorretos.,formulario,2025-03-24,Financeiro e Cobrança,Juros e Encargos
135,Necessário corrigir informações do cadastro.,chat,2025-03-20,Solicitações Operacionais,Atualização Cadastral
136,Mensagem sem detalhes específicos.,email,2025-03-03,Outros,Mensagem Genérica
137,O sistema poderia ser mais rápido.,chat,2025-03-02,Feedback e Experiência,Sugestão de Melhoria
138,Pedido de estorno financeiro.,chat,2025-03-15,Financeiro e Cobrança,Reembolso / Estorno
139,Gostaria de esclarecimentos sobre a cobrança.,sistema,2025-03-25,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
140,A interface poderia ser mais intuitiva.,formulario,2025-03-01,Feedback e Experiência,Crítica de Usabilidade
141,Mensagem sem detalhes específicos.,chat,2025-03-21,Outros,Mensagem Genérica
142,Falha de conexão com o banco de dados.,email,2025-03-31,Problemas Técnicos,Falha de Banco de Dados
143,Solicito integração com sistema externo via API.,chat,2025-03-08,Solicitações Operacionais,Integração com Sistemas Externos
144,Pedido de agendamento de treinamento.,email,2025-03-19,Solicitações Operacionais,Solicitação de Treinamento
145,Pedido de agendamento de treinamento.,sistema,2025-03-25,Solicitações Operacionais,Solicitação de Treinamento
146,Valor cobrado não condiz com o contratado.,email,2025-03-25,Financeiro e Cobrança,Cobrança Indevida / Duplicada
147,Solicito reprocessamento de dados incorretos.,email,2025-03-30,Solicitações Operacionais,Reprocessamento / Correção de Dados
148,Pedido de nova via de cobrança.,formulario,2025-03-13,Financeiro e Cobrança,Segunda Via de Boleto
149,Pedido de inclusão de usuário com perfil específico.,chat,2025-03-04,Solicitações Operacionais,Criação / Gestão de Usuários
150,Juros aplicados parecem incorretos.,email,2025-03-26,Financeiro e Cobrança,Juros e Encargos
151,Mensagem sem detalhes específicos.,formulario,2025-03-22,Outros,Mensagem Genérica
152,O sistema não reconheceu o pagamento efetuado.,sistema,2025-03-01,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
153,Sugiro inclusão de nova funcionalidade.,formulario,2025-03-31,Feedback e Experiência,Sugestão de Nova Funcionalidade
154,Questionamento sobre encargos cobrados.,chat,2025-03-14,Financeiro e Cobrança,Juros e Encargos
155,Pedido de atualização do plano atual.,sistema,2025-03-20,Solicitações Operacionais,Alteração de Plano / Contrato
156,Evento gerado automaticamente.,formulario,2025-03-27,Outros,Registro Automático
157,Evento gerado automaticamente.,chat,2025-03-27,Outros,Registro Automático
158,A aplicação está fora do ar desde o início da manhã.,chat,2025-03-25,Problemas Técnicos,Indisponibilidade / Queda do Serviço
159,Seria interessante adicionar novos recursos.,email,2025-03-16,Feedback e Experiência,Sugestão de Nova Funcionalidade
160,Há cobrança indevida no meu extrato.,chat,2025-03-12,Financeiro e Cobrança,Cobrança Indevida / Duplicada
161,Gostaria de esclarecimentos sobre a cobrança.,sistema,2025-03-18,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
162,O sistema está muito lento após a última atualização.,email,2025-03-08,Problemas Técnicos,Problemas de Performance / Lentidão
163,Pedido de nova funcionalidade.,chat,2025-03-23,Feedback e Experiência,Sugestão de Nova Funcionalidade
164,Seria interessante adicionar novos recursos.,email,2025-03-03,Feedback e Experiência,Sugestão de Nova Funcionalidade
165,Há cobrança indevida no meu extrato.,chat,2025-03-10,Financeiro e Cobrança,Cobrança Indevida / Duplicada
166,Evento gerado automaticamente.,sistema,2025-03-14,Outros,Registro Automático
167,Evento gerado automaticamente.,formulario,2025-03-09,Outros,Registro Automático
168,Tenho dúvidas sobre o valor da fatura.,email,2025-03-24,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
169,Solicito reprocessamento de dados incorretos.,chat,2025-03-07,Solicitações Operacionais,Reprocessamento / Correção de Dados
170,Desejo mudar as condições do contrato.,sistema,2025-03-24,Solicitações Operacionais,Alteração de Plano / Contrato
171,Apenas para agradecer.,sistema,2025-03-04,Outros,Agradecimento Simples
172,Solicito reprocessamento de dados incorretos.,sistema,2025-03-06,Solicitações Operacionais,Reprocessamento / Correção de Dados
173,O sistema não reconheceu o pagamento efetuado.,chat,2025-03-09,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
174,Erro recorrente no sistema ao tentar acessar determinadas funcionalidades.,sistema,2025-03-23,Problemas Técnicos,Erro de Sistema / Aplicação
175,Desejo mudar as condições do contrato.,email,2025-03-28,Solicitações Operacionais,Alteração de Plano / Contrato
176,Há lentidão excessiva ao navegar entre as telas.,formulario,2025-03-16,Problemas Técnicos,Problemas de Performance / Lentidão
177,A interface poderia ser mais intuitiva.,email,2025-03-09,Feedback e Experiência,Crítica de Usabilidade
178,Estou satisfeito com o sistema.,formulario,2025-03-16,Feedback e Experiência,Feedback Positivo
179,Performance degradada ao acessar dashboards.,email,2025-03-05,Problemas Técnicos,Problemas de Performance / Lentidão
180,Pedido de alteração cadastral.,sistema,2025-03-03,Solicitações Operacionais,Atualização Cadastral
181,Pedido de inclusão de usuário com perfil específico.,formulario,2025-03-20,Solicitações Operacionais,Criação / Gestão de Usuários
182,Agradeço pelo atendimento.,formulario,2025-03-15,Outros,Agradecimento Simples
183,Usabilidade precisa melhorar.,formulario,2025-03-10,Feedback e Experiência,Crítica de Usabilidade
184,Agradeço pelo atendimento.,email,2025-03-31,Outros,Agradecimento Simples
185,Solicito alteração do plano contratado.,sistema,2025-03-22,Solicitações Operacionais,Alteração de Plano / Contrato
186,"Não consigo acessar o sistema, pois ocorre erro de autenticação mesmo com credenciais corretas.",chat,2025-03-18,Problemas Técnicos,Erro de Autenticação e Acesso
187,"Não consigo acessar o sistema, pois ocorre erro de autenticação mesmo com credenciais corretas.",formulario,2025-03-15,Problemas Técnicos,Erro de Autenticação e Acesso
188,Evento gerado automaticamente.,email,2025-03-08,Outros,Registro Automático
189,Questionamento sobre encargos cobrados.,formulario,2025-03-03,Financeiro e Cobrança,Juros e Encargos
190,Necessário corrigir dados já processados.,chat,2025-03-14,Solicitações Operacionais,Reprocessamento / Correção de Dados
191,O sistema está muito lento após a última atualização.,chat,2025-03-30,Problemas Técnicos,Problemas de Performance / Lentidão
192,Identifiquei cobrança duplicada na fatura.,email,2025-03-06,Financeiro e Cobrança,Cobrança Indevida / Duplicada
193,Pedido de nova via de cobrança.,sistema,2025-03-15,Financeiro e Cobrança,Segunda Via de Boleto
194,A exportação de dados falha continuamente.,sistema,2025-03-23,Problemas Técnicos,Erro de Exportação / Relatórios
195,Usabilidade precisa melhorar.,formulario,2025-03-15,Feedback e Experiência,Crítica de Usabilidade
196,O sistema está muito lento após a última atualização.,formulario,2025-03-24,Problemas Técnicos,Problemas de Performance / Lentidão
197,Preciso reenviar o boleto de pagamento.,email,2025-03-03,Financeiro e Cobrança,Segunda Via de Boleto
198,Pedido de atualização do plano atual.,email,2025-03-25,Solicitações Operacionais,Alteração de Plano / Contrato
199,Solicito segunda via do boleto.,chat,2025-03-16,Financeiro e Cobrança,Segunda Via de Boleto
200,Obrigado pela ajuda.,sistema,2025-03-06,Outros,Agradecimento Simples
201,Log automático registrado.,formulario,2025-03-03,Outros,Registro Automático
202,Dificuldade de navegação no sistema.,sistema,2025-03-11,Feedback e Experiência,Crítica de Usabilidade
203,O login está falhando e impede o acesso ao ambiente.,formulario,2025-03-23,Problemas Técnicos,Erro de Autenticação e Acesso
204,Usabilidade precisa melhorar.,formulario,2025-03-27,Feedback e Experiência,Crítica de Usabilidade
205,Mensagem sem detalhes específicos.,email,2025-03-11,Outros,Mensagem Genérica
206,Tenho dúvidas sobre o valor da fatura.,formulario,2025-03-28,Financeiro e Cobrança,Dúvidas sobre Fatura / Valores
207,Aguardando posicionamento.,formulario,2025-03-14,Outros,Mensagem Genérica
208,"Erro ao autenticar usuário, mesmo após redefinição de senha.",sistema,2025-03-20,Problemas Técnicos,Erro de Autenticação e Acesso
209,Sugiro inclusão de nova funcionalidade.,chat,2025-03-09,Feedback e Experiência,Sugestão de Nova Funcionalidade
210,Mensagem sem detalhes específicos.,formulario,2025-03-29,Outros,Mensagem Genérica
211,Estou satisfeito com o sistema.,chat,2025-03-23,Feedback e Experiência,Feedback Positivo
212,Necessário corrigir dados já processados.,email,2025-03-18,Solicitações Operacionais,Reprocessamento / Correção de Dados
213,Estou satisfeito com o sistema.,email,2025-03-15,Feedback e Experiência,Feedback Positivo
214,Falha de conexão com o banco de dados.,formulario,2025-03-30,Problemas Técnicos,Falha de Banco de Dados
215,Pedido de nova via de cobrança.,sistema,2025-03-14,Financeiro e Cobrança,Segunda Via de Boleto
216,Sugiro inclusão de nova funcionalidade.,formulario,2025-03-18,Feedback e Experiência,Sugestão de Nova Funcionalidade
217,Solicito treinamento para a equipe.,chat,2025-03-28,Solicitações Operacionais,Solicitação de Treinamento
218,A aplicação está fora do ar desde o início da manhã.,sistema,2025-03-30,Problemas Técnicos,Indisponibilidade / Queda do Serviço
219,Registro automático do sistema.,sistema,2025-03-24,Outros,Registro Automático
220,Pedido de nova via de cobrança.,formulario,2025-03-28,Financeiro e Cobrança,Segunda Via de Boleto
221,Pedido de agendamento de treinamento.,formulario,2025-03-12,Solicitações Operacionais,Solicitação de Treinamento
222,Pedido de nova via de cobrança.,formulario,2025-03-15,Financeiro e Cobrança,Segunda Via de Boleto
223,Valor cobrado não condiz com o contratado.,chat,2025-03-19,Financeiro e Cobrança,Cobrança Indevida / Duplicada
224,O sistema poderia ser mais rápido.,email,2025-03-11,Feedback e Experiência,Sugestão de Melhoria
225,Seria interessante adicionar novos recursos.,chat,2025-03-16,Feedback e Experiência,Sugestão de Nova Funcionalidade
226,"Erro ao autenticar usuário, mesmo após redefinição de senha.",sistema,2025-03-28,Problemas Técnicos,Erro de Autenticação e Acesso
227,Não foi possível exportar o relatório solicitado.,formulario,2025-03-01,Problemas Técnicos,Erro de Exportação / Relatórios
228,Pedido de agendamento de treinamento.,chat,2025-03-03,Solicitações Operacionais,Solicitação de Treinamento
229,Dificuldade de navegação no sistema.,formulario,2025-03-21,Feedback e Experiência,Crítica de Usabilidade
230,"Serviço indisponível, impossibilitando o uso da plataforma.",formulario,2025-03-31,Problemas Técnicos,Indisponibilidade / Queda do Serviço
231,Juros aplicados parecem incorretos.,formulario,2025-03-28,Financeiro e Cobrança,Juros e Encargos
232,Aguardando posicionamento.,email,2025-03-08,Outros,Mensagem Genérica
233,Valor cobrado não condiz com o contratado.,email,2025-03-14,Financeiro e Cobrança,Cobrança Indevida / Duplicada
234,Banco de dados não responde às requisições.,email,2025-03-15,Problemas Técnicos,Falha de Banco de Dados
235,Desejo mudar as condições do contrato.,email,2025-03-02,Solicitações Operacionais,Alteração de Plano / Contrato
236,"Pagamento realizado, porém não identificado.",sistema,2025-03-12,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
237,Sugiro melhorias no sistema.,formulario,2025-03-19,Feedback e Experiência,Sugestão de Melhoria
238,Solicito integração com sistema externo via API.,email,2025-03-20,Solicitações Operacionais,Integração com Sistemas Externos
239,O sistema poderia ser mais rápido.,chat,2025-03-08,Feedback e Experiência,Sugestão de Melhoria
240,Dificuldade de navegação no sistema.,sistema,2025-03-22,Feedback e Experiência,Crítica de Usabilidade
241,Erro ao gerar relatório financeiro em PDF ou CSV.,chat,2025-03-03,Problemas Técnicos,Erro de Exportação / Relatórios
242,Usabilidade precisa melhorar.,sistema,2025-03-21,Feedback e Experiência,Crítica de Usabilidade
243,Dificuldade de navegação no sistema.,sistema,2025-03-07,Feedback e Experiência,Crítica de Usabilidade
244,Sugiro inclusão de nova funcionalidade.,chat,2025-03-13,Feedback e Experiência,Sugestão de Nova Funcionalidade
245,Log automático registrado.,sistema,2025-03-23,Outros,Registro Automático
246,O sistema não reconheceu o pagamento efetuado.,formulario,2025-03-09,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
247,Performance degradada ao acessar dashboards.,email,2025-03-30,Problemas Técnicos,Problemas de Performance / Lentidão
248,Obrigado pela ajuda.,sistema,2025-03-25,Outros,Agradecimento Simples
249,Necessário ajustar layout e campos do relatório.,chat,2025-03-21,Solicitações Operacionais,Customização de Relatórios
250,Necessário ajustar layout e campos do relatório.,chat,2025-03-21,Solicitações Operacionais,Customização de Relatórios
251,Banco de dados não responde às requisições.,email,2025-03-10,Problemas Técnicos,Falha de Banco de Dados
252,Gostei muito da nova atualização.,sistema,2025-03-24,Feedback e Experiência,Feedback Positivo
253,Necessário cadastrar novo acesso para colaborador.,sistema,2025-03-24,Solicitações Operacionais,Criação / Gestão de Usuários
254,Sugiro melhorias no sistema.,chat,2025-03-26,Feedback e Experiência,Sugestão de Melhoria
255,Log automático registrado.,sistema,2025-03-27,Outros,Registro Automático
256,Dados inconsistentes precisam ser reprocessados.,sistema,2025-03-24,Solicitações Operacionais,Reprocessamento / Correção de Dados
257,"Pagamento realizado, porém não identificado.",email,2025-03-05,Financeiro e Cobrança,Pagamento Realizado mas Não Compensado
258,Pedido de alteração cadastral.,formulario,2025-03-31,Solicitações Operacionais,Atualização Cadastral
259,Registro automático do sistema.,formulario,2025-03-01,Outros,Registro Automático
260,Solicito segunda via do boleto.,formulario,2025-03-12,Financeiro e Cobrança,Segunda Via de Boleto
261,Preciso reenviar o boleto de pagamento.,sistema,2025-03-04,Financeiro e Cobrança,Segunda Via de Boleto
262,Solicito treinamento para a equipe.,sistema,2025-03-30,Solicitações Operacionais,Solicitação de Treinamento
263,Aguardando posicionamento.,email,2025-03-21,Outros,Mensagem Genérica
264,Usabilidade precisa melhorar.,formulario,2025-03-04,Feedback e Experiência,Crítica de Usabilidade
265,Solicito a criação de um novo usuário no sistema.,sistema,2025-03-16,Solicitações Operacionais,Criação / Gestão de Usuários
266,O sistema apresentou um erro inesperado ao executar a funcionalidade solicitada.,chat,2025-03-13,Problemas Técnicos,Erro de Sistema / Aplicação
267,Usabilidade precisa melhorar.,formulario,2025-03-19,Feedback e Experiência,Crítica de Usabilidade
268,Pedido de agendamento de treinamento.,email,2025-03-27,Solicitações Operacionais,Solicitação de Treinamento
269,Seria interessante adicionar novos recursos.,email,2025-03-23,Feedback e Experiência,Sugestão de Nova Funcionalidade
